Date,Close
1/02/2018,43.58
1/03/2018,43.07
1/04/2018,42.91
1/05/2018,42.57
1/08/2018,42.16
1/09/2018,42.13
1/10/2018,41.99
1/11/2018,42.29
1/12/2018,42.17
1/15/2018,41.79
1/16/2018,41.74
1/17/2018,41.86
1/18/2018,41.85
1/19/2018,42.06
1/22/2018,42.03
1/23/2018,42.31
1/24/2018,42.33
1/25/2018,41.87
1/26/2018,42.13
1/29/2018,42.11
1/30/2018,42.03
1/31/2018,42.12
2/01/2018,47.48
2/02/2018,45.32
2/05/2018,44.98
2/06/2018,44.47
2/07/2018,44.01
2/08/2018,43.31
2/09/2018,43.41
2/12/2018,43.75
2/13/2018,43.72
2/14/2018,44.35
2/15/2018,44.12
2/16/2018,44.08
2/20/2018,44.24
2/21/2018,44.05
2/22/2018,43.9
2/23/2018,44.84
2/26/2018,45.25
2/27/2018,45.33
2/28/2018,45.05
3/01/2018,44.49
3/02/2018,44.92
3/05/2018,45.46
3/06/2018,45.29
3/07/2018,45.76
3/08/2018,46.51
3/09/2018,46.4
3/12/2018,46.71
3/13/2018,47.02
3/14/2018,47.19
3/15/2018,47.29
3/16/2018,47.64
3/19/2018,46.56
3/20/2018,46.35
3/21/2018,46.09
3/22/2018,44.84
3/23/2018,44.1
3/26/2018,44.53
3/27/2018,43.91
3/28/2018,44.02
3/29/2018,44.82
4/02/2018,43.85
4/03/2018,44.03
4/04/2018,43.99
4/05/2018,43.86
4/06/2018,43.63
4/09/2018,43.91
4/10/2018,43.67
4/11/2018,42.94
4/12/2018,43.37
4/13/2018,43.06
4/16/2018,43.47
4/17/2018,45
4/18/2018,45.19
4/19/2018,44.83
4/20/2018,45.02
4/23/2018,45.21
4/24/2018,44.76
4/25/2018,45.01
4/26/2018,45.76
4/27/2018,45.78
4/30/2018,45.33
5/01/2018,46.03
5/02/2018,46.5
5/03/2018,46.21
5/04/2018,46.53
5/07/2018,47.16
5/08/2018,47.1
5/09/2018,47.26
5/10/2018,44.3
5/11/2018,44.52
5/14/2018,44.35
5/15/2018,43.78
5/16/2018,43.61
5/17/2018,43.46
5/18/2018,43.77
5/22/2018,43.83
5/23/2018,44.15
5/24/2018,44.69
5/25/2018,45.04
5/28/2018,44.69
5/29/2018,44.51
5/30/2018,44.81
5/31/2018,45.23
6/01/2018,45.76
6/04/2018,45.68
6/05/2018,46.1
6/06/2018,46.2
6/07/2018,45.97
6/08/2018,46.16
6/11/2018,46.53
6/12/2018,47.04
6/13/2018,47.19
6/14/2018,47.1
6/15/2018,47.31
6/18/2018,47.03
6/19/2018,47.09
6/20/2018,47.89
6/21/2018,47.52
6/22/2018,47.54
6/25/2018,46.29
6/26/2018,46.48
6/27/2018,46.21
6/28/2018,46.37
6/29/2018,46.27
7/03/2018,46.63
7/04/2018,46.8
7/05/2018,47.35
7/06/2018,47.77
7/09/2018,48.47
7/10/2018,48.77
7/11/2018,48.62
7/12/2018,49.7
7/13/2018,49.9
7/16/2018,50.01
7/17/2018,49.37
7/18/2018,49.68
7/19/2018,50
